"scenario","order","UMAP1","UMAP2","group"
"Null (no structure)",1,-2.07485990300179,1.53283131475543,"group 1"
"Null (no structure)",1,-2.24691848530769,-0.210626627514308,"group 1"
"Null (no structure)",1,-2.30285339131355,-0.658605243275111,"group 1"
"Null (no structure)",1,0.890432550764084,-1.96945586354489,"group 1"
"Null (no structure)",1,1.12175197825432,-2.40745010525936,"group 1"
"Null (no structure)",1,1.61632795557976,-1.45879283101315,"group 1"
"Null (no structure)",1,-0.170005605363846,1.45441267340427,"group 1"
"Null (no structure)",1,-2.32767610325813,1.65129216461426,"group 1"
"Null (no structure)",1,-2.24103908314705,1.28573896436935,"group 1"
"Null (no structure)",1,-0.726587579393387,0.148251269748266,"group 1"
"Null (no structure)",1,-0.996774480485916,0.909005199363286,"group 1"
"Null (no structure)",1,0.925728752470016,-1.84497037083859,"group 1"
"Null (no structure)",1,-1.16602782979012,-1.1308018222546,"group 1"
"Null (no structure)",1,0.779941990232468,1.35774977951294,"group 1"
"Null (no structure)",1,-0.668539807939529,-1.20898404271359,"group 1"
"Null (no structure)",1,1.41286487803459,0.990860913684423,"group 1"
"Null (no structure)",1,-0.71568279042244,-0.198150064060633,"group 1"
"Null (no structure)",1,-0.805515573167801,-1.74079146535153,"group 1"
"Null (no structure)",1,-0.259951398515701,1.50809497925436,"group 1"
"Null (no structure)",1,1.42760844454765,2.06710824816471,"group 1"
"Null (no structure)",1,-0.0810511566638947,-1.06162967831845,"group 1"
"Null (no structure)",1,-1.96793060078621,1.18817821591144,"group 1"
"Null (no structure)",1,0.0170852683544158,0.33292910902744,"group 1"
"Null (no structure)",1,-0.310867593431473,0.467827771594579,"group 1"
"Null (no structure)",1,-0.816091821336746,-0.287800695011561,"group 1"
"Null (no structure)",1,2.34505696520805,1.85887703745609,"group 1"
"Null (no structure)",1,1.85940094218254,1.46808902620321,"group 1"
"Null (no structure)",1,2.573491051054,1.10272646396404,"group 1"
"Null (no structure)",1,-1.60077695622444,-0.424943114826625,"group 1"
"Null (no structure)",1,0.791591360425949,2.40067574827915,"group 1"
"Null (no structure)",1,0.980063392972946,-2.05164590031857,"group 1"
"Null (no structure)",1,-1.2334473587513,2.15807876436954,"group 1"
"Null (no structure)",1,-2.1001613594532,1.4418816983605,"group 1"
"Null (no structure)",1,-1.46031074299812,-1.16858639867062,"group 1"
"Null (no structure)",1,1.57513399348259,-0.679205562183802,"group 1"
"Null (no structure)",1,-1.9397838570118,1.64697143136507,"group 1"
"Null (no structure)",1,1.4546265147686,-1.90924039036984,"group 1"
"Null (no structure)",1,-0.950078294420242,-0.288898016521876,"group 1"
"Null (no structure)",1,1.09963889346123,-2.8313964858746,"group 1"
"Null (no structure)",1,-1.23547725453377,1.50654272808676,"group 1"
"Null (no structure)",1,-0.531822011613846,-0.926480437824671,"group 1"
"Null (no structure)",1,-1.66778163685799,0.171120499064977,"group 1"
"Null (no structure)",1,-0.57597331776619,1.85318658201938,"group 1"
"Null (no structure)",1,-2.37327937855721,0.273112629344518,"group 1"
"Null (no structure)",1,0.532201006269455,-0.309067274639552,"group 1"
"Null (no structure)",1,-2.55853681340218,-0.0578400150036265,"group 1"
"Null (no structure)",1,2.01180167422295,-0.528709794590418,"group 1"
"Null (no structure)",1,0.0283534072399139,1.93286970703846,"group 1"
"Null (no structure)",1,2.21641297564507,-1.87258377225155,"group 1"
"Null (no structure)",1,-1.12514524235725,-1.02239742429013,"group 1"
"Null (no structure)",1,1.56799311861992,0.637724851062353,"group 1"
"Null (no structure)",1,-1.98043613209724,-0.554212953159754,"group 1"
"Null (no structure)",1,-2.24482898488045,-0.105779673168604,"group 1"
"Null (no structure)",1,1.13811464533806,-1.74725523144955,"group 1"
"Null (no structure)",1,1.46164126620293,-0.901345397541468,"group 1"
"Null (no structure)",1,-2.0087740875721,1.94937608092075,"group 1"
"Null (no structure)",1,-1.73003797307014,0.24785420744663,"group 1"
"Null (no structure)",1,-1.27547292485237,-1.14913716466183,"group 1"
"Null (no structure)",1,1.83119268641472,-1.49611821324581,"group 1"
"Null (no structure)",1,-0.272473619127274,-0.263116385052149,"group 1"
"Null (no structure)",1,1.25311942324638,-0.397983337948268,"group 1"
"Null (no structure)",1,0.559970333433151,-1.13594641835446,"group 1"
"Null (no structure)",1,1.18643446192741,2.77523813097721,"group 1"
"Null (no structure)",1,-2.78844098820686,0.765507553508336,"group 1"
"Null (no structure)",1,1.51368398890495,0.0694082721973013,"group 1"
"Null (no structure)",1,-1.35003976597786,-0.555348779270594,"group 1"
"Null (no structure)",1,-0.668114469194412,2.51409206240421,"group 1"
"Null (no structure)",1,0.551206781721115,1.21129674165493,"group 1"
"Null (no structure)",1,0.564453556394577,1.37408437280899,"group 1"
"Null (no structure)",1,-1.15392761006355,1.16950470655208,"group 1"
"Null (no structure)",1,-1.84981755986214,-0.105732943127101,"group 1"
"Null (no structure)",1,-1.32195071949959,-0.0454378381466318,"group 1"
"Null (no structure)",1,-2.53675489201546,-1.21979537160153,"group 1"
"Null (no structure)",1,1.54183907732964,0.658865843703802,"group 1"
"Null (no structure)",1,-0.476712033891678,1.5237875774699,"group 1"
"Null (no structure)",1,-0.576459691667557,-0.404669548580592,"group 1"
"Null (no structure)",1,-2.64662008061409,1.11633259504085,"group 1"
"Null (no structure)",1,-0.668660447740555,-0.910348321506922,"group 1"
"Null (no structure)",1,0.713136627531052,0.534706269195135,"group 1"
"Null (no structure)",1,-0.0298302628040314,1.7178402438665,"group 1"
"Null (no structure)",1,-0.611161039018631,-2.44623866231198,"group 1"
"Null (no structure)",1,0.0519792579174041,2.11895516960865,"group 1"
"Null (no structure)",1,0.639765693998337,0.413585518291051,"group 1"
"Null (no structure)",1,-0.823507115983963,-0.454917456219142,"group 1"
"Null (no structure)",1,-1.15499620213509,0.515102241923864,"group 1"
